probe,fc_CD_ileum,fc_UC_colon,fc_CD_colon
7893096,0.0443,0.0794,0.2233
7893097,0.0439,-0.057,-0.0397
7893098,0.0283,-0.0928,-0.1353
7893099,0.1833,-0.0011,-0.3323
7893100,0.0395,0.0008,-0.1227
7893101,0.0431,0.0266,0.0324
7893102,-0.344,0.1655,0.467
7893103,0.1148,-0.0074,-0.0106
7893104,0.1739,-0.0362,0.0701
7893105,0.0869,-0.0834,0.0235
7893106,-0.1997,-0.1981,-0.3804
7893107,-0.1027,-0.1746,-0.2365
7893108,0.2146,-0.4158,-0.467
7893109,-0.193,0.0165,0.1663
7893110,0.1267,0.121,0.1981
7893111,-0.13,0.1008,-0.0829
7893112,-0.0427,0.1691,-0.2306
7893113,0.3203,0.1526,0.0567
7893114,0.2047,-0.4428,-0.4325
7893115,0.5165,0.1073,0.157
7893116,-0.2258,-0.2573,-0.1772
7893117,-0.0576,-0.1743,-0.0927
7893118,-0.0836,-0.0581,0.1899
7893119,-0.216,-0.394,-0.1212
7893120,0.0866,0.3381,0.2467
7893121,0.005,0.1099,0.2253
7893122,0.2371,-0.0674,0.0132
7893123,0.0595,-0.1626,-0.1509
7893124,-0.1065,-0.1407,-0.2351
7893125,-0.0315,-0.3023,-0.2886
7893126,-0.18,-0.089,0.067
7893127,0.015,0.1075,0.1266
7893128,0.1541,-0.4795,-0.2514
7893129,0.6901,0.318,0.1593
7893130,0.1944,-0.0708,-0.328
7893131,0.29,-0.032,-0.0548
7893132,0.3381,0.174,0.2436
7893133,0.092,0.1079,0.0683
7893134,-0.0382,0.0125,0.0752
7893135,0.0004,0.0874,0.2103
7893136,0.0265,0.0108,-0.2145
7893137,-0.0528,0.0478,-0.021
7893138,0.0602,-0.066,-0.187
7893139,0.1013,-0.0466,-0.0974
7893140,0.1667,0.0879,0.2401
7893141,0.4215,-0.0667,0.0174
7893142,0.3011,-0.0371,0.0466
7893143,0.3317,0.3049,0.4216
7893144,-0.2251,-0.4733,-0.5175
7893145,-0.1998,0.1169,0.3171
7893146,0.0741,-0.0807,-0.1314
7893147,0.0835,0.0682,0.1165
7893148,0.0763,0.0417,0.0579
7893149,0.1415,-0.0997,-0.0715
7893150,0.3118,-0.0681,0.0076
7893151,0.0974,-0.1347,0.1303
7893152,-0.0658,-0.2097,-0.1288
7893153,0.0425,0.3336,0.2591
7893154,0.2739,-0.0201,-0.449
7893155,-0.1603,-0.0174,-0.0899
7893156,0.1761,0.6387,0.3911
7893157,0.0162,-0.1417,-0.1939
7893158,0.0855,-0.2535,-0.0532
7893159,0.0381,-0.0586,0.0274
7893160,0.2321,0.2687,0.1848
7893161,0.1359,-0.3334,-0.316
7893162,-0.1117,-0.2489,-0.2496
7893163,-0.1996,0.206,0.0451
7893164,0.0792,-0.0812,-0.142
7893165,0.2854,0.2631,0.0772
7893166,-0.215,-0.4475,-0.4595
7893167,-0.3109,0.1492,0.2771
7893168,-0.0041,0.0904,0.0235
7893169,-0.1108,-0.1685,-0.0647
7893170,-0.1363,0.1985,0.0758
7893171,0.2905,0.0993,-0.0556
7893172,0.3569,0.1903,0.1522
7893173,-0.1402,-0.2428,-0.3349
7893174,0.2234,-0.0887,-0.0606
7893175,-0.1753,-0.0328,-0.3062
7893176,-0.1013,-0.0655,0.033
7893177,0.5103,0.0446,-0.2225
7893178,0.0851,-0.0983,-0.2397
7893179,-0.1099,-0.0237,0.0414
7893180,0.1536,-0.0237,-0.2879
7893181,-0.0409,0.2526,0.1907
7893182,-0.0715,-0.2559,-0.217
7893183,0.1845,0.3114,0.2862
7893184,0.2328,0.4395,0.5067
7893185,0.1907,0.0536,-0.2876
7893186,0.3111,-0.2798,-0.1431
7893187,-0.1406,-0.3847,-0.4437
7893188,0.2596,-0.1215,-0.065
7893189,0.0439,0.0605,0.1684
7893190,-0.0975,0.0867,0.1285
7893191,0.2093,-0.0368,-0.1658
7893192,-0.0856,-0.0197,-0.231
7893193,0.0928,0.4394,0.4098
7893194,0.0493,-0.0016,-0.1304
7893195,0.1257,0.1282,-0.0881
7893196,0.3567,0.3619,0.1799
7893197,0.067,-0.1357,0.1491
7893198,0.0801,0.0781,0.1294
7893199,-0.0914,-0.0124,-0.1114
7893200,0.0648,-0.0028,0.0625
7893201,-0.259,0.2709,0.102
