draw,CXCL8 KO|NEUT,CXCL8 KO|D,IL1B KO|NEUT,IL1B KO|D,TNF KO|NEUT,TNF KO|D,STAT3 KO|NEUT,STAT3 KO|D,JAK2 inhibition|NEUT,JAK2 inhibition|D
251,80.30694725702517,62.29824239070221,100.0,100.0,25.105745043940352,11.958728074424885,8.26698225680984,3.523051455849713,6.324167255060164,2.662740780452777
252,77.25222866346493,49.61793689204052,100.0,100.0,26.20381159781575,9.335902156624842,6.002040404155662,1.8180392476994323,4.60942630790524,1.381939503392282
253,75.48682521554994,47.39891534083881,100.0,100.0,28.3814618581285,10.391107704727176,6.3311466182896625,1.9394683275557267,4.961016176518173,1.5044815786543153
254,73.1619176473321,41.510875844407636,100.0,100.0,30.216770128375504,10.131109431527996,8.727428340823206,2.4289551864589365,6.379218935905895,1.7430620602335134
255,83.00256331374108,56.451192511458856,100.0,100.0,21.716522279362792,6.858790640296286,5.597880764750518,1.5496976775452476,4.179561722133906,1.1446220541395435
256,64.73284070502943,35.75633439231726,100.0,100.0,39.44020687646712,16.491293263344474,6.813733958966872,2.1690896852059716,5.2116174211438775,1.6398524733584496
257,70.5870342166238,40.91797287255719,100.0,100.0,33.993582493801725,12.939144367211231,7.8136709818163785,2.387622973474568,6.013068362770769,1.8128241581645832
258,75.93195379106832,44.24442705965647,100.0,100.0,27.05536208927678,8.533160544203433,5.53297527467066,1.4518270795252475,4.17411130376829,1.0837697931151191
259,82.77377541151112,59.30484118141348,100.0,100.0,21.31891167656216,7.593496314563442,9.958441352386727,3.2453736699430635,7.28654284443826,2.3280548602640505
260,77.16330339123151,52.99238433908424,100.0,100.0,27.65896342373624,11.312968405242142,8.366829880536397,2.95626095317022,6.500319616805205,2.266909046300991
261,77.13049855653549,52.18394391585208,100.0,100.0,28.31123275578421,11.331080631674572,6.613462707675454,2.2402533808641323,5.057038442623063,1.6943556325026865
262,76.92751592689956,48.06854545399896,100.0,100.0,26.900234815504852,9.26908659448621,10.236827370456448,3.0688318003866955,7.8037774671104065,2.295869649787652
263,67.79011076175243,37.96825825933382,100.0,100.0,35.17122202027064,13.627692882061615,6.110750131332732,1.8576521953303171,4.579686379606073,1.376590205506123
264,74.48982148010052,41.3085128922675,100.0,100.0,28.487519966417864,8.760622123191409,6.310750178702095,1.597634695353367,4.876748597486191,1.2206482159564547
265,78.78505946021919,57.571306427089716,100.0,100.0,24.810215315951456,10.75916979921605,7.16942816295102,2.7444293593843927,5.28799201130955,1.9992161203737813
