gene,fc_PG_vs_NN,p_PG_vs_NN,fc_SS_vs_NN,p_SS_vs_NN
LOC101929353,0.0,nan,0.0,nan
LINC02428,0.0066,0.321537,0.0,nan
CXXC4-AS1,0.0527,0.251583,0.0093,0.322778
GSTCD-AS1,0.164,0.000146,0.147,0.004829
LOC101929577,0.0772,0.762969,0.1774,0.495157
LOC101929595,0.8335,0.023632,1.1817,0.003078
METTL14-DT,0.0224,0.176869,0.0,nan
LOC101929762,0.1016,0.019935,0.0537,0.052408
LOC102723704,0.3759,0.136511,0.22,0.372399
LINC02362,0.012,0.321537,0.0,nan
LINC02497,0.0,nan,0.0085,0.322778
LINC02506,0.0109,0.321537,0.0,nan
LOC102724776,0.01,0.321537,0.0129,0.322778
SMAD1-AS1,0.5532,3e-06,0.4336,8e-05
LINC01256,0.0,nan,0.0,nan
